,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
37,2024-04-10,746655,Lineout,field_out,True,543257,676440,Robbie Grossman,Tanner Bibee,0,b8a566e1-c96b-4b4e-a492-e896ecb7f645,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.001,0.44,0.27,0.118,0.171,-1.35,-3.42,1.69,-0.54,1.17,94.6,82.4,92.5,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,,
38,2024-04-10,746655,Double,double,False,672820,676440,Lenyn Sosa,Tanner Bibee,0,0568dd28-27fd-49dc-970f-7ce174fb0f73,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.001,0.44,0.27,0.118,0.171,-1.35,-3.42,1.69,-0.54,1.17,94.6,82.4,92.5,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-04-10,746655,Fielders Choice,fielders_choice,False,657757,680704,Gavin Sheets,Nick Sandlin,1,87869999-3f58-467b-9d06-c19fded892da,680704.0,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.63,3.77,34.2,93.0,89.0,92.0,0.646,9.87,3.89,5.71,1.3,0.71,0.198,0.407,0.163,0.349,0.374,,,,,,,89.0,97.0,94.0,111.0,90.0,99.0,0.112,0.282,0.394,,,0.62,-4.63,-0.32,,,92.5,,92.3,79.1,,0.188,0.313,0.197,0.214,0.429,0.452,,,,,,,86.0,83.0,79.0,,,,,,,0.333,0.722,0.074,,,,51.0,97.0,84.0,0.212,5.5,84.5,0.034,0.034,0.538
40,2024-04-10,746655,Strikeout,strikeout,True,683734,680704,Andrew Vaughn,Nick Sandlin,0,f0d5f962-6fa3-45b1-bb16-e1606286076a,680704.0,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.63,3.77,34.2,93.0,89.0,92.0,0.646,9.87,3.89,5.71,1.3,0.71,0.198,0.407,0.163,0.349,0.374,,,,,,,89.0,97.0,94.0,111.0,90.0,99.0,0.112,0.282,0.394,,,0.62,-4.63,-0.32,,,92.5,,92.3,79.1,,0.188,0.313,0.197,0.214,0.429,0.452,,,,,,,86.0,83.0,79.0,,,,,,,0.333,0.722,0.074,,,,51.0,97.0,84.0,0.212,5.5,84.5,0.034,0.034,0.538
41,2024-04-10,746655,Flyout,field_out,True,643217,680704,Andrew Benintendi,Nick Sandlin,1,7de270f6-219b-4bc6-a695-2fe5ca596b68,680704.0,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.63,3.77,34.2,93.0,89.0,92.0,0.646,9.87,3.89,5.71,1.3,0.71,0.198,0.407,0.163,0.349,0.374,,,,,,,89.0,97.0,94.0,111.0,90.0,99.0,0.112,0.282,0.394,,,0.62,-4.63,-0.32,,,92.5,,92.3,79.1,,0.188,0.313,0.197,0.214,0.429,0.452,,,,,,,86.0,83.0,79.0,,,,,,,0.333,0.722,0.074,,,,51.0,97.0,84.0,0.212,5.5,84.5,0.034,0.034,0.538
42,2024-04-10,746655,Lineout,field_out,True,677587,607200,Brayan Rocchio,Erick Fedde,0,c5739103-cd78-4c38-9b4c-03f0a6961d87,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
43,2024-04-10,746655,Home Run,home_run,False,680757,607200,Steven Kwan,Erick Fedde,0,f5d14c19-959c-4105-913f-44f01761b284,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
44,2024-04-10,746655,Groundout,field_out,True,665926,607200,Andrés Giménez,Erick Fedde,0,b5807b35-8220-4059-944f-00d286cead9c,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
45,2024-04-10,746655,Flyout,field_out,True,608070,607200,José Ramírez,Erick Fedde,0,c2fd678c-54cf-429d-a47a-64b9ec776fc1,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,127.0,101.0,105.0,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,0.216,0.295,0.142,,,,80.0,107.0,94.0,78.0,104.0,97.0,0.299,1.18,90.1,0.246,0.358,0.203,0.242,0.387,0.258,,,,,,,,,
46,2024-04-10,746655,Lineout,field_out,True,686676,682120,Korey Lee,Tim Herrin,0,c61b71c6-743e-454f-94dd-51ac873996be,682120.0,timherrin,Herrin,Left,Tim Herrin,CLE,1.45,3.36,37.1,96.0,105.0,98.0,0.72,9.4,4.34,4.58,0.24,1.41,0.148,0.455,0.193,0.273,0.411,,,,105.0,96.0,99.0,97.0,93.0,88.0,116.0,95.0,100.0,0.098,0.254,0.249,0.398,,1.69,5.35,0.48,1.95,,95.4,,94.0,87.6,81.5,0.176,0.206,0.171,0.238,0.381,0.338,,,,0.138,0.224,0.385,106.0,106.0,112.0,,,,,,,0.0,0.0,0.115,,,,,,,,,,,,
