,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff
57,2024-06-04,746872,Lineout,field_out,True,665804,605154,Miguel Amaya,John Brebbia,0,d4711a09-2a9b-4db1-a385-fbeac424459b,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,CHW,4.5,4.24,38.0,104.0,105.0,106.0,0.768,11.37,2.13,8.29,1.18,0.7,0.277,0.376,0.168,0.337,0.44,168.0,136.0,106.0,,,,105.0,107.0,108.0,,,,105.0,101.0,104.0,,,,,,,,0.461,,,0.538,,0.002,2.3,,,,-1.42,,7.24,93.9,,,89.6,,82.9,,0.138,0.262,0.284,,,,0.31,0.488,0.256,,,,,,,,,,,,
58,2024-06-04,746872,Groundout,field_out,True,663538,605154,Nico Hoerner,John Brebbia,0,8bb5ca8a-39d8-4691-a802-66fd663b6654,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,CHW,4.5,4.24,38.0,104.0,105.0,106.0,0.768,11.37,2.13,8.29,1.18,0.7,0.277,0.376,0.168,0.337,0.44,168.0,136.0,106.0,,,,105.0,107.0,108.0,,,,105.0,101.0,104.0,,,,,,,,0.461,,,0.538,,0.002,2.3,,,,-1.42,,7.24,93.9,,,89.6,,82.9,,0.138,0.262,0.284,,,,0.31,0.488,0.256,,,,,,,,,,,,
59,2024-06-04,746872,Strikeout,strikeout,True,657757,681432,Gavin Sheets,Luke Little,0,5e726390-fd6c-4fed-a27e-42484a53952a,681432.0,lukelittle,Little,Left,Luke Little,CHC,3.46,3.54,26.0,86.0,87.0,82.0,0.752,9.69,6.23,5.19,0.35,3.23,0.22,0.39,0.186,0.271,0.438,,,,,,,79.0,92.0,82.0,,,,112.0,72.0,82.0,,,,86.0,100.0,86.0,,0.724,,0.014,0.263,,,1.33,,2.07,,0.07,,,95.8,,90.3,,,81.8,,0.219,0.313,0.19,,,,0.048,0.095,0.543,,,,,,,,,,,,
60,2024-06-04,746872,Strikeout,strikeout,True,686676,681432,Korey Lee,Luke Little,0,1ed2a04f-4f1b-4e62-93d6-3f6c480e7800,681432.0,lukelittle,Little,Left,Luke Little,CHC,3.46,3.54,26.0,86.0,87.0,82.0,0.752,9.69,6.23,5.19,0.35,3.23,0.22,0.39,0.186,0.271,0.438,,,,,,,79.0,92.0,82.0,,,,112.0,72.0,82.0,,,,86.0,100.0,86.0,,0.724,,0.014,0.263,,,1.33,,2.07,,0.07,,,95.8,,90.3,,,81.8,,0.219,0.313,0.19,,,,0.048,0.095,0.543,,,,,,,,,,,,
61,2024-06-04,746872,Groundout,field_out,True,664901,681432,Danny Mendick,Luke Little,0,a6539d21-bdcf-4db3-94bb-349d22e3d4ec,681432.0,lukelittle,Little,Left,Luke Little,CHC,3.46,3.54,26.0,86.0,87.0,82.0,0.752,9.69,6.23,5.19,0.35,3.23,0.22,0.39,0.186,0.271,0.438,,,,,,,79.0,92.0,82.0,,,,112.0,72.0,82.0,,,,86.0,100.0,86.0,,0.724,,0.014,0.263,,,1.33,,2.07,,0.07,,,95.8,,90.3,,,81.8,,0.219,0.313,0.19,,,,0.048,0.095,0.543,,,,,,,,,,,,
62,2024-06-04,746872,Flyout,field_out,True,673548,673929,Seiya Suzuki,Jordan Leasure,0,f98a701d-c14a-489e-9a85-a783cc1233d0,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,96.0,98.0,100.0,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,,,,0.598,,,0.288,0.114,,0.95,,,,-5.4,-1.88,,96.1,,,,,88.2,78.6,0.169,0.308,0.257,,,,0.419,0.744,0.28,0.25,0.583,0.273,,,,,,,,,
63,2024-06-04,746872,Walk,walk,False,641355,673929,Cody Bellinger,Jordan Leasure,0,59cafaec-0070-4de9-8436-690fe863ed8f,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,96.0,98.0,100.0,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,,,,0.598,,,0.288,0.114,,0.95,,,,-5.4,-1.88,,96.1,,,,,88.2,78.6,0.169,0.308,0.257,,,,0.419,0.744,0.28,0.25,0.583,0.273,,,,,,,,,
64,2024-06-04,746872,Single,single,False,666624,673929,Christopher Morel,Jordan Leasure,1,2c071944-89a3-4652-af87-5dacc7884582,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,96.0,98.0,100.0,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,,,,0.598,,,0.288,0.114,,0.95,,,,-5.4,-1.88,,96.1,,,,,88.2,78.6,0.169,0.308,0.257,,,,0.419,0.744,0.28,0.25,0.583,0.273,,,,,,,,,
65,2024-06-04,746872,Double,double,False,664023,673929,Ian Happ,Jordan Leasure,1,d8de9b2b-e3df-4d53-94e7-ea95ca35505b,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,96.0,98.0,100.0,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,,,,0.598,,,0.288,0.114,,0.95,,,,-5.4,-1.88,,96.1,,,,,88.2,78.6,0.169,0.308,0.257,,,,0.419,0.744,0.28,0.25,0.583,0.273,,,,,,,,,
66,2024-06-04,746872,Strikeout,strikeout,True,621550,673929,Patrick Wisdom,Jordan Leasure,0,4bddd95c-d66d-4c57-a55c-2ee1b89bd14e,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,96.0,98.0,100.0,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,,,,0.598,,,0.288,0.114,,0.95,,,,-5.4,-1.88,,96.1,,,,,88.2,78.6,0.169,0.308,0.257,,,,0.419,0.744,0.28,0.25,0.583,0.273,,,,,,,,,
67,2024-06-04,746872,Strikeout,strikeout,True,621020,673929,Dansby Swanson,Jordan Leasure,0,803ea6fc-2ea7-4984-9b7c-64c281004768,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,,,,96.0,98.0,100.0,120.0,93.0,94.0,,,,109.0,100.0,104.0,,,,,,,,0.598,,,0.288,0.114,,0.95,,,,-5.4,-1.88,,96.1,,,,,88.2,78.6,0.169,0.308,0.257,,,,0.419,0.744,0.28,0.25,0.583,0.273,,,,,,,,,
68,2024-06-04,746872,Lineout,field_out,True,672820,593576,Lenyn Sosa,Héctor Neris,0,c04255fd-54c7-43f4-b493-1398b2e6d3fb,593576.0,hectorneris,Neris,Right,Héctor Neris,CHC,3.86,4.89,32.2,97.0,88.0,97.0,0.789,9.64,6.34,7.71,1.1,1.33,0.165,0.482,0.2,0.318,0.397,,,,,,,85.0,100.0,94.0,90.0,92.0,85.0,88.0,85.0,86.0,,,,91.0,95.0,105.0,0.098,0.469,,0.407,0.026,,,-0.32,,-0.06,-2.0,1.63,,,92.9,,83.0,,92.9,85.4,,0.264,0.491,0.146,0.185,0.241,0.364,,,,,,,,,,,,,0.364,0.727,0.04
69,2024-06-04,746872,Walk,walk,False,693049,593576,Oscar Colás,Héctor Neris,0,f72053a4-2074-43bc-8d71-20d0282af6f7,593576.0,hectorneris,Neris,Right,Héctor Neris,CHC,3.86,4.89,32.2,97.0,88.0,97.0,0.789,9.64,6.34,7.71,1.1,1.33,0.165,0.482,0.2,0.318,0.397,,,,,,,85.0,100.0,94.0,90.0,92.0,85.0,88.0,85.0,86.0,,,,91.0,95.0,105.0,0.098,0.469,,0.407,0.026,,,-0.32,,-0.06,-2.0,1.63,,,92.9,,83.0,,92.9,85.4,,0.264,0.491,0.146,0.185,0.241,0.364,,,,,,,,,,,,,0.364,0.727,0.04
70,2024-06-04,746872,Pop Out,field_out,True,667452,593576,Corey Julks,Héctor Neris,1,a05afd1b-7de4-4088-ab22-240bf00674aa,593576.0,hectorneris,Neris,Right,Héctor Neris,CHC,3.86,4.89,32.2,97.0,88.0,97.0,0.789,9.64,6.34,7.71,1.1,1.33,0.165,0.482,0.2,0.318,0.397,,,,,,,85.0,100.0,94.0,90.0,92.0,85.0,88.0,85.0,86.0,,,,91.0,95.0,105.0,0.098,0.469,,0.407,0.026,,,-0.32,,-0.06,-2.0,1.63,,,92.9,,83.0,,92.9,85.4,,0.264,0.491,0.146,0.185,0.241,0.364,,,,,,,,,,,,,0.364,0.727,0.04
