,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
44,2024-04-20,745760,Pop Out,field_out,True,678554,641482,Curtis Mead,Nestor Cortes,0,5a587288-acb1-4be6-a843-eeec498b5315,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
45,2024-04-20,745760,Strikeout,strikeout,True,676609,641482,José Caballero,Nestor Cortes,0,121b91e3-6956-4269-9e85-00f07c07d7bc,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
46,2024-04-20,745760,Flyout,field_out,True,642350,641482,Jose Siri,Nestor Cortes,0,f111d6f3-29f9-4917-bf0d-497d39e63ea5,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
47,2024-04-20,745760,Pop Out,field_out,True,519203,621363,Anthony Rizzo,Colin Poche,0,25984967-54c4-49b3-a6ed-1e6378f6301b,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.24,4.07,25.0,94.0,89.0,98.0,0.821,7.92,2.88,6.48,1.8,0.62,0.188,0.493,0.159,0.348,0.421,,,,98.0,90.0,95.0,,,,68.0,103.0,104.0,,,,,0.695,,0.305,,1.3,,,0.38,,91.1,,,,83.1,0.194,0.387,0.144,,,,0.214,0.393,0.431,,,,,,,,,,,,,,,,,,,,,,,,
48,2024-04-20,745760,Single,single,False,657077,621363,Alex Verdugo,Colin Poche,0,1b45174e-92fe-42dd-bcff-fd5e3741c40a,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.24,4.07,25.0,94.0,89.0,98.0,0.821,7.92,2.88,6.48,1.8,0.62,0.188,0.493,0.159,0.348,0.421,,,,98.0,90.0,95.0,,,,68.0,103.0,104.0,,,,,0.695,,0.305,,1.3,,,0.38,,91.1,,,,83.1,0.194,0.387,0.144,,,,0.214,0.393,0.431,,,,,,,,,,,,,,,,,,,,,,,,
49,2024-04-20,745760,Grounded Into DP,grounded_into_double_play,True,519317,621363,Giancarlo Stanton,Colin Poche,1,366703b9-9c31-46d5-ab18-9787a2ad4828,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.24,4.07,25.0,94.0,89.0,98.0,0.821,7.92,2.88,6.48,1.8,0.62,0.188,0.493,0.159,0.348,0.421,,,,98.0,90.0,95.0,,,,68.0,103.0,104.0,,,,,0.695,,0.305,,1.3,,,0.38,,91.1,,,,83.1,0.194,0.387,0.144,,,,0.214,0.393,0.431,,,,,,,,,,,,,,,,,,,,,,,,
50,2024-04-20,745760,Flyout,field_out,True,668853,596133,Austin Shenton,Luke Weaver,0,4ea92a23-6467-4406-9567-7cb3bd1f5d3c,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,107.0,103.0,104.0,137.0,99.0,106.0,,,,,,,108.0,98.0,103.0,,0.444,0.28,,0.264,1.14,1.38,,,1.5,95.4,91.2,88.4,,,0.171,0.3,0.28,0.18,0.443,0.194,,,,0.138,0.241,0.44,,,,,,,,,,,,,119.0,75.0,96.0,0.012,2.43,83.3,,,
51,2024-04-20,745760,Groundout,field_out,True,650490,596133,Yandy Díaz,Luke Weaver,0,84532a57-e18c-4873-a548-3af58b4c3735,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,107.0,103.0,104.0,137.0,99.0,106.0,,,,,,,108.0,98.0,103.0,,0.444,0.28,,0.264,1.14,1.38,,,1.5,95.4,91.2,88.4,,,0.171,0.3,0.28,0.18,0.443,0.194,,,,0.138,0.241,0.44,,,,,,,,,,,,,119.0,75.0,96.0,0.012,2.43,83.3,,,
52,2024-04-20,745760,Strikeout,strikeout,True,668227,596133,Randy Arozarena,Luke Weaver,0,0b15c4d2-ed1e-41c6-9094-7f87bc85548f,596133.0,lukeweaver,Weaver,Right,Luke Weaver,NYY,2.47,3.59,54.2,99.0,121.0,105.0,0.726,9.55,2.14,5.1,0.99,0.83,0.243,0.375,0.14,0.279,0.37,107.0,103.0,104.0,137.0,99.0,106.0,,,,,,,108.0,98.0,103.0,,0.444,0.28,,0.264,1.14,1.38,,,1.5,95.4,91.2,88.4,,,0.171,0.3,0.28,0.18,0.443,0.194,,,,0.138,0.241,0.44,,,,,,,,,,,,,119.0,75.0,96.0,0.012,2.43,83.3,,,
53,2024-04-20,745760,Groundout,field_out,True,665828,664208,Oswaldo Cabrera,Phil Maton,0,0ef069bc-6cfd-4363-afbb-5eca84ffe14b,664208.0,philmaton,"Maton, P",Right,Phil Maton,- - -,4.46,5.22,38.1,95.0,102.0,102.0,0.732,8.45,4.23,7.28,1.64,1.23,0.135,0.548,0.154,0.365,0.404,,,,,,,42.0,104.0,96.0,151.0,93.0,103.0,81.0,96.0,96.0,0.06,,0.349,0.32,,,1.7,3.81,-1.93,,,88.3,,87.2,81.6,,,,0.186,0.209,0.301,0.333,1.333,0.111,,,,0.125,0.125,0.211,99.0,92.0,106.0,0.272,-1.67,74.2,0.163,0.349,0.391,,,,,,,,,
54,2024-04-20,745760,Strikeout,strikeout,True,663330,664208,Jahmai Jones,Phil Maton,0,39749f4d-5a03-4188-8793-2c7e902e3dd2,664208.0,philmaton,"Maton, P",Right,Phil Maton,- - -,4.46,5.22,38.1,95.0,102.0,102.0,0.732,8.45,4.23,7.28,1.64,1.23,0.135,0.548,0.154,0.365,0.404,,,,,,,42.0,104.0,96.0,151.0,93.0,103.0,81.0,96.0,96.0,0.06,,0.349,0.32,,,1.7,3.81,-1.93,,,88.3,,87.2,81.6,,,,0.186,0.209,0.301,0.333,1.333,0.111,,,,0.125,0.125,0.211,99.0,92.0,106.0,0.272,-1.67,74.2,0.163,0.349,0.391,,,,,,,,,
55,2024-04-20,745760,Walk,walk,False,669224,664208,Austin Wells,Phil Maton,0,4a2c2a9e-cf35-421d-a710-4131e96382c8,664208.0,philmaton,"Maton, P",Right,Phil Maton,- - -,4.46,5.22,38.1,95.0,102.0,102.0,0.732,8.45,4.23,7.28,1.64,1.23,0.135,0.548,0.154,0.365,0.404,,,,,,,42.0,104.0,96.0,151.0,93.0,103.0,81.0,96.0,96.0,0.06,,0.349,0.32,,,1.7,3.81,-1.93,,,88.3,,87.2,81.6,,,,0.186,0.209,0.301,0.333,1.333,0.111,,,,0.125,0.125,0.211,99.0,92.0,106.0,0.272,-1.67,74.2,0.163,0.349,0.391,,,,,,,,,
56,2024-04-20,745760,Groundout,field_out,True,683011,664208,Anthony Volpe,Phil Maton,0,9931dbe4-64fe-47f5-ac34-3705c1d37f01,664208.0,philmaton,"Maton, P",Right,Phil Maton,- - -,4.46,5.22,38.1,95.0,102.0,102.0,0.732,8.45,4.23,7.28,1.64,1.23,0.135,0.548,0.154,0.365,0.404,,,,,,,42.0,104.0,96.0,151.0,93.0,103.0,81.0,96.0,96.0,0.06,,0.349,0.32,,,1.7,3.81,-1.93,,,88.3,,87.2,81.6,,,,0.186,0.209,0.301,0.333,1.333,0.111,,,,0.125,0.125,0.211,99.0,92.0,106.0,0.272,-1.67,74.2,0.163,0.349,0.391,,,,,,,,,
