,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
10,2024-06-16,744839,Flyout,field_out,True,641313,680730,Tim Anderson,Mitchell Parker,0,c24a211a-5c76-4c68-b1c2-33e5deaa25f3,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-06-16,744839,Flyout,field_out,True,672640,680730,Otto Lopez,Mitchell Parker,0,dcabd1d3-91b8-43d3-ae7b-99262bdaa760,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-06-16,744839,Flyout,field_out,True,656896,680730,Emmanuel Rivera,Mitchell Parker,0,b8f8b4f3-3066-4635-9359-31a78f54f1dc,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-06-16,744839,Double,double,False,660688,666200,Keibert Ruiz,Jesús Luzardo,0,674f0c20-90ed-4adc-8c6d-840ba1418ab9,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
14,2024-06-16,744839,Fielders Choice Out,fielders_choice_out,True,671277,666200,Luis García Jr.,Jesús Luzardo,1,4b90d033-9b40-483e-9f47-a3f469656ae4,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
15,2024-06-16,744839,Single,single,False,696285,666200,Jacob Young,Jesús Luzardo,1,9d68cab1-9182-4b68-80db-3854c0889ea8,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
16,2024-06-16,744839,Flyout,field_out,True,702358,666200,Trey Lipscomb,Jesús Luzardo,0,3e91b818-32a3-4abe-9636-78811d41730d,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
17,2024-06-16,744839,Flyout,field_out,True,663743,680730,Nick Fortes,Mitchell Parker,0,0a2d09ea-66f2-4743-bfe6-65cd9e5b19f1,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-06-16,744839,Strikeout,strikeout,True,665862,680730,Jazz Chisholm Jr.,Mitchell Parker,0,8401dcc0-62f4-409e-b285-13b54e1abff3,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-06-16,744839,Pop Out,field_out,True,669394,680730,Jake Burger,Mitchell Parker,0,f1170ad6-d598-496d-bcb5-cb16ba8e3621,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-06-16,744839,Walk,walk,False,682928,666200,CJ Abrams,Jesús Luzardo,0,07511bb0-00e4-4736-8f80-874de9590245,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
21,2024-06-16,744839,Strikeout,strikeout,True,657041,666200,Lane Thomas,Jesús Luzardo,0,0c2f63af-947b-4ba4-b6cc-3d2f51a7deae,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
22,2024-06-16,744839,Grounded Into DP,grounded_into_double_play,True,608841,666200,Joey Meneses,Jesús Luzardo,1,33f46c8c-332d-4bd1-b328-74ebbd44e57a,666200.0,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.48,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.125,0.286,0.4,31.0,40.0,52.0,98.0,100.0,95.0,97.0,98.0,108.0,,,,0.394,,0.292,0.002,-0.65,,0.13,-3.42,95.2,,83.5,81.6,0.28,0.484,0.111,,,,,,,0.2,0.347,0.474,88.0,97.0,95.0,87.0,90.0,88.0,0.083,0.229,-0.81,1.56,86.3,94.6,0.207,0.328,0.407,0.381,0.571,0.125,,,,,,,,,
23,2024-06-16,744839,Groundout,field_out,True,650559,680730,Bryan De La Cruz,Mitchell Parker,0,456318d9-9b42-483a-bb74-cc113dc1f75b,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-06-16,744839,Single,single,False,605137,680730,Josh Bell,Mitchell Parker,0,113480ca-65c4-4a73-a332-bc01dbfac825,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,106.0,106.0,110.0,88.0,96.0,95.0,0.49,0.173,0.09,0.246,0.85,-0.37,-1.59,1.0,92.6,85.8,84.6,80.5,0.241,0.382,0.12,0.25,0.369,0.264,0.203,0.359,0.361,0.243,0.514,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
