,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
62,2024-05-18,747202,Single,single,False,595879,656464,Javier Báez,Kevin Ginkel,1,05a33d84-beae-4530-9b0f-21732d260550,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,0.246,0.41,0.392,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,
63,2024-05-18,747202,Double,double,False,608348,656464,Carson Kelly,Kevin Ginkel,1,0874e1f7-1f81-4cf9-9345-383ba4253089,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,0.246,0.41,0.392,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,
64,2024-05-18,747202,Groundout,field_out,True,682985,656464,Riley Greene,Kevin Ginkel,0,b65a577f-ae66-4e7e-bc7d-7e5fd0d9c3a3,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,0.246,0.41,0.392,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,
65,2024-05-18,747202,Single,single,False,592192,656464,Mark Canha,Kevin Ginkel,0,6429eeb8-3a68-4610-88de-7f62259ea325,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,0.246,0.41,0.392,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,
66,2024-05-18,747202,Sac Fly,sac_fly,True,672761,656464,Wenceel Pérez,Kevin Ginkel,1,b03938af-9202-41d4-9633-86cc8691eda2,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,0.246,0.41,0.392,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,
67,2024-05-18,747202,Lineout,field_out,True,663837,656464,Matt Vierling,Kevin Ginkel,0,4defc334-141d-42f1-862c-4a5758e4cc82,656464.0,kevinginkel,Ginkel,Right,Kevin Ginkel,ARI,2.55,3.36,42.1,104.0,105.0,105.0,0.768,9.14,1.49,8.5,0.64,1.27,0.262,0.402,0.115,0.352,0.407,,,,89.0,105.0,99.0,88.0,103.0,101.0,134.0,103.0,115.0,,,,,,,0.108,0.523,,0.369,,,0.98,,1.28,-0.37,,,96.0,,,94.5,87.6,,0.235,0.346,0.184,,,,,,,0.246,0.41,0.392,,,,0.286,0.286,0.116,,,,,,,,,,,,,,,
68,2024-05-18,747202,Groundout,field_out,True,606466,605177,Ketel Marte,Andrew Chafin,0,ccd17771-4ab7-49ad-8a12-ebedab88751e,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,,,,0.388,0.156,,0.456,,,4.95,,-2.43,1.36,,,91.9,,,92.0,82.1,,0.125,0.125,0.244,,,,,,,0.131,0.164,0.52,,,,0.5,0.674,0.127,,,,,,,,,,,,,,,
69,2024-05-18,747202,Single,single,False,545341,605177,Randal Grichuk,Andrew Chafin,0,d644b0c5-81bb-4a9f-bf7e-3e7e6ed3171a,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,,,,0.388,0.156,,0.456,,,4.95,,-2.43,1.36,,,91.9,,,92.0,82.1,,0.125,0.125,0.244,,,,,,,0.131,0.164,0.52,,,,0.5,0.674,0.127,,,,,,,,,,,,,,,
70,2024-05-18,747202,Strikeout,strikeout,True,572233,605177,Christian Walker,Andrew Chafin,1,2a638a9a-8197-46db-8258-9867d78cd304,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,,,,0.388,0.156,,0.456,,,4.95,,-2.43,1.36,,,91.9,,,92.0,82.1,,0.125,0.125,0.244,,,,,,,0.131,0.164,0.52,,,,0.5,0.674,0.127,,,,,,,,,,,,,,,
71,2024-05-18,747202,Single,single,False,666971,605177,Lourdes Gurriel Jr.,Andrew Chafin,1,67e16dbb-9642-4607-8665-8a640857ba91,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,77.0,95.0,87.0,98.0,89.0,105.0,,,,,,,0.388,0.156,,0.456,,,4.95,,-2.43,1.36,,,91.9,,,92.0,82.1,,0.125,0.125,0.244,,,,,,,0.131,0.164,0.52,,,,0.5,0.674,0.127,,,,,,,,,,,,,,,
