,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
20,2024-07-03,745643,Flyout,field_out,True,609280,669721,Miguel Andujar,Davis Daniel,0,0af51f9c-7fec-4fa6-8337-700090dfd72b,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
21,2024-07-03,745643,Single,single,False,667670,669721,Brent Rooker,Davis Daniel,0,824b4429-8256-40da-976e-58bee4b3157b,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
22,2024-07-03,745643,Strikeout,strikeout,True,669127,669721,Shea Langeliers,Davis Daniel,0,7fee3f62-310d-4995-8b56-984cc29799da,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
23,2024-07-03,745643,Single,single,False,694384,683155,Nolan Schanuel,Joey Estes,0,144a9227-8a6e-431d-aeea-f3c237083ae6,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.231,0.427,0.194,0.261,0.522,0.213,0.529,1.059,0.282,0.333,0.333,0.0,,,,,,,,,,,,,,,
24,2024-07-03,745643,Grounded Into DP,grounded_into_double_play,True,650859,683155,Luis Rengifo,Joey Estes,1,1422b97c-d286-49a6-9df1-de51e0b20f49,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.231,0.427,0.194,0.261,0.522,0.213,0.529,1.059,0.282,0.333,0.333,0.0,,,,,,,,,,,,,,,
25,2024-07-03,745643,Strikeout,strikeout,True,621493,683155,Taylor Ward,Joey Estes,0,8802adfa-8a3a-4478-bc50-e02159a7b962,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.231,0.427,0.194,0.261,0.522,0.213,0.529,1.059,0.282,0.333,0.333,0.0,,,,,,,,,,,,,,,
26,2024-07-03,745643,Groundout,field_out,True,691016,669721,Tyler Soderstrom,Davis Daniel,0,58519817-55ae-4054-a4e7-de3d61f8d5b4,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
27,2024-07-03,745643,Strikeout,strikeout,True,680869,669721,Zack Gelof,Davis Daniel,0,5683641c-0bb0-4a4b-89bd-0eeb857ff8ec,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
28,2024-07-03,745643,Lineout,field_out,True,671732,669721,Lawrence Butler,Davis Daniel,0,09f22c97-75d8-4c91-886c-47408e4c27b9,669721.0,davisdaniel,Daniel,Right,Davis Daniel,LAA,5.82,4.33,17.0,108.0,77.0,102.0,0.794,7.41,0.53,10.06,1.59,1.05,0.34,0.415,0.132,0.321,0.448,65.0,115.0,108.0,57.0,112.0,101.0,,,,123.0,101.0,108.0,,,,,0.46,,0.242,0.21,1.44,,,-2.64,-0.82,91.7,,84.5,,82.6,0.29,0.419,0.158,0.25,0.625,0.194,0.357,0.429,0.226,,,,92.0,86.0,80.0,0.089,1.66,74.8,0.167,0.333,0.4,,,,,,
29,2024-07-03,745643,Single,single,False,641432,683155,Willie Calhoun,Joey Estes,0,f3d54f29-f9f0-4493-a95c-c9b1894721f7,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.29,4.22,63.0,108.0,95.0,106.0,0.815,7.0,2.14,8.57,1.14,0.44,0.267,0.415,0.149,0.308,0.492,86.0,90.0,94.0,84.0,108.0,102.0,57.0,108.0,118.0,115.0,114.0,118.0,111.0,89.0,91.0,0.006,0.555,0.014,0.326,0.099,0.75,-13.92,-1.29,0.49,-6.26,92.7,86.4,84.7,90.9,79.7,0.231,0.427,0.194,0.261,0.522,0.213,0.529,1.059,0.282,0.333,0.333,0.0,,,,,,,,,,,,,,,
