,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
47,2024-06-12,745405,Flyout,field_out,True,647351,663568,Abraham Toro,Stephen Kolek,0,51837dbf-6a22-4fca-b961-df05ac6285c3,663568.0,stephenkolek,Kolek,Right,Stephen Kolek,SDP,5.52,4.36,44.0,108.0,107.0,108.0,0.807,7.57,2.05,11.45,0.82,2.79,0.327,0.313,0.129,0.252,0.448,113.0,111.0,119.0,102.0,114.0,108.0,106.0,108.0,109.0,123.0,102.0,110.0,0.409,0.131,0.202,0.068,2.23,0.15,-3.35,0.72,95.8,88.8,95.2,85.8,0.214,0.214,0.182,0.111,0.111,0.254,0.329,0.371,0.187,0.286,0.429,0.242,,,,,,,,,,95.0,107.0,100.0,0.189,-1.23,92.2,0.359,0.487,0.185,,,,,,,,,
48,2024-06-12,745405,Strikeout,strikeout,True,592518,666204,Manny Machado,Dany Jiménez,0,6df4de9b-e45e-4310-8b7a-0ef5303aca01,666204.0,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.04,4.54,23.2,91.0,97.0,94.0,0.742,7.99,6.85,6.08,1.52,0.55,0.262,0.477,0.231,0.215,0.443,89.0,76.0,78.0,63.0,91.0,80.0,,,,120.0,92.0,104.0,,0.374,0.588,0.038,-0.36,,-0.02,-4.2,92.5,83.4,,81.9,0.333,0.333,0.5,0.25,0.583,0.14,,,,0.158,0.316,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2024-06-12,745405,Strikeout,strikeout,True,456781,666204,Donovan Solano,Dany Jiménez,0,dab65ce7-5a16-4947-8d61-443ea1b59446,666204.0,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.04,4.54,23.2,91.0,97.0,94.0,0.742,7.99,6.85,6.08,1.52,0.55,0.262,0.477,0.231,0.215,0.443,89.0,76.0,78.0,63.0,91.0,80.0,,,,120.0,92.0,104.0,,0.374,0.588,0.038,-0.36,,-0.02,-4.2,92.5,83.4,,81.9,0.333,0.333,0.5,0.25,0.583,0.14,,,,0.158,0.316,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2024-06-12,745405,Strikeout,strikeout,True,630105,666204,Jake Cronenworth,Dany Jiménez,0,8b5c4604-26aa-4b0a-adf4-f169fa09f4b3,666204.0,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.04,4.54,23.2,91.0,97.0,94.0,0.742,7.99,6.85,6.08,1.52,0.55,0.262,0.477,0.231,0.215,0.443,89.0,76.0,78.0,63.0,91.0,80.0,,,,120.0,92.0,104.0,,0.374,0.588,0.038,-0.36,,-0.02,-4.2,92.5,83.4,,81.9,0.333,0.333,0.5,0.25,0.583,0.14,,,,0.158,0.316,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2024-06-12,745405,Single,single,False,668709,673513,JJ Bleday,Yuki Matsui,0,0bc622c6-74c4-4b37-9cac-f1ec4e072742,673513.0,yukimatsui,Matsui,Left,Yuki Matsui,SDP,3.7,3.17,41.1,94.0,114.0,97.0,0.717,9.36,5.01,6.53,0.44,1.0,0.206,0.486,0.187,0.318,0.388,,,,116.0,94.0,101.0,,,,108.0,95.0,98.0,,0.394,0.306,,0.49,,0.54,,92.1,,,84.6,,,,0.236,0.345,0.145,,,,0.167,0.167,0.2,66.0,73.0,79.0,0.013,0.65,74.8,,,,,,,,,,,,,120.0,93.0,91.0,0.288,0.51,86.4,0.182,0.25,0.426
52,2024-06-12,745405,Pop Out,field_out,True,609280,673513,Miguel Andujar,Yuki Matsui,1,991514fb-50bb-4ddd-853f-a68ed36dec0b,673513.0,yukimatsui,Matsui,Left,Yuki Matsui,SDP,3.7,3.17,41.1,94.0,114.0,97.0,0.717,9.36,5.01,6.53,0.44,1.0,0.206,0.486,0.187,0.318,0.388,,,,116.0,94.0,101.0,,,,108.0,95.0,98.0,,0.394,0.306,,0.49,,0.54,,92.1,,,84.6,,,,0.236,0.345,0.145,,,,0.167,0.167,0.2,66.0,73.0,79.0,0.013,0.65,74.8,,,,,,,,,,,,,120.0,93.0,91.0,0.288,0.51,86.4,0.182,0.25,0.426
53,2024-06-12,745405,Flyout,field_out,True,691016,673513,Tyler Soderstrom,Yuki Matsui,0,7f9482c8-887d-40c8-9acf-c682f1ccfac3,673513.0,yukimatsui,Matsui,Left,Yuki Matsui,SDP,3.7,3.17,41.1,94.0,114.0,97.0,0.717,9.36,5.01,6.53,0.44,1.0,0.206,0.486,0.187,0.318,0.388,,,,116.0,94.0,101.0,,,,108.0,95.0,98.0,,0.394,0.306,,0.49,,0.54,,92.1,,,84.6,,,,0.236,0.345,0.145,,,,0.167,0.167,0.2,66.0,73.0,79.0,0.013,0.65,74.8,,,,,,,,,,,,,120.0,93.0,91.0,0.288,0.51,86.4,0.182,0.25,0.426
54,2024-06-12,745405,Strikeout,strikeout,True,669127,673513,Shea Langeliers,Yuki Matsui,0,6739a76d-dfee-48c4-8175-c0e4c1b4a686,673513.0,yukimatsui,Matsui,Left,Yuki Matsui,SDP,3.7,3.17,41.1,94.0,114.0,97.0,0.717,9.36,5.01,6.53,0.44,1.0,0.206,0.486,0.187,0.318,0.388,,,,116.0,94.0,101.0,,,,108.0,95.0,98.0,,0.394,0.306,,0.49,,0.54,,92.1,,,84.6,,,,0.236,0.345,0.145,,,,0.167,0.167,0.2,66.0,73.0,79.0,0.013,0.65,74.8,,,,,,,,,,,,,120.0,93.0,91.0,0.288,0.51,86.4,0.182,0.25,0.426
55,2024-06-12,745405,Groundout,field_out,True,673490,666204,Ha-Seong Kim,Dany Jiménez,0,8325d71b-c76c-4851-bcdd-8e91a33c29c8,666204.0,danyjimenez,"Jiménez, D",Right,Dany Jiménez,OAK,3.04,4.54,23.2,91.0,97.0,94.0,0.742,7.99,6.85,6.08,1.52,0.55,0.262,0.477,0.231,0.215,0.443,89.0,76.0,78.0,63.0,91.0,80.0,,,,120.0,92.0,104.0,,0.374,0.588,0.038,-0.36,,-0.02,-4.2,92.5,83.4,,81.9,0.333,0.333,0.5,0.25,0.583,0.14,,,,0.158,0.316,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2024-06-12,745405,Flyout,field_out,True,701538,519008,Jackson Merrill,T.J. McFarland,0,1753dc2e-2c2b-40ed-99f0-d5c6c110847e,519008.0,tjmcfarland,McFarland,Left,T.J. McFarland,OAK,4.38,2.72,37.0,103.0,69.0,104.0,0.823,6.57,2.68,9.0,0.73,2.92,0.235,0.4,0.2,0.191,0.419,88.0,101.0,101.0,-3.0,92.0,88.0,44.0,107.0,105.0,94.0,99.0,103.0,0.481,0.005,0.399,0.113,7.5,1.3,0.24,-2.63,88.2,81.2,87.9,78.1,0.235,0.412,0.294,,,,0.275,0.362,0.085,0.256,0.419,0.299,,,,,,,,,,62.0,114.0,74.0,0.002,5.39,82.2,,,,,,,,,,,,
